#ZVView-data-copy:   3-Dec-2019 15:17:20
#=======================================
#
#name:   92-U-238(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  108574
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       1.94e-8            0         10.4            0  # 1982,M.Adib+             ## 30636003
       1.98e-8            0         10.3            0  # 1982,M.Adib+             ## 30636003
       2.03e-8            0         10.2            0  # 1982,M.Adib+             ## 30636003
       2.08e-8            0        10.36            0  # 1982,M.Adib+             ## 30636003
       2.13e-8            0        10.33            0  # 1982,M.Adib+             ## 30636003
       2.19e-8            0         10.3            0  # 1982,M.Adib+             ## 30636003
       2.24e-8            0        10.12            0  # 1982,M.Adib+             ## 30636003
        2.3e-8            0        10.26            0  # 1982,M.Adib+             ## 30636003
       2.36e-8            0        10.37            0  # 1982,M.Adib+             ## 30636003
       2.42e-8            0         10.4            0  # 1982,M.Adib+             ## 30636003
       2.48e-8            0        10.36            0  # 1982,M.Adib+             ## 30636003
       2.55e-8            0        10.55            0  # 1982,M.Adib+             ## 30636003
       2.62e-8            0        10.59            0  # 1982,M.Adib+             ## 30636003
       2.69e-8            0         10.4            0  # 1982,M.Adib+             ## 30636003
       2.77e-8            0         10.3            0  # 1982,M.Adib+             ## 30636003
       2.85e-8            0         10.1            0  # 1982,M.Adib+             ## 30636003
       2.93e-8            0         10.3            0  # 1982,M.Adib+             ## 30636003
       3.02e-8            0        10.15            0  # 1982,M.Adib+             ## 30636003
        3.1e-8            0         10.5            0  # 1982,M.Adib+             ## 30636003
        3.2e-8            0         10.1            0  # 1982,M.Adib+             ## 30636003
        3.3e-8            0         10.1            0  # 1982,M.Adib+             ## 30636003
       3.41e-8            0         10.5            0  # 1982,M.Adib+             ## 30636003
       3.51e-8            0         10.7            0  # 1982,M.Adib+             ## 30636003
        3.6e-8            0         10.5            0  # 1982,M.Adib+             ## 30636003
        3.7e-8            0         10.4            0  # 1982,M.Adib+             ## 30636003
        3.8e-8            0         10.1            0  # 1982,M.Adib+             ## 30636003
       3.99e-8            0        10.21            0  # 1982,M.Adib+             ## 30636003
        4.1e-8            0           10            0  # 1982,M.Adib+             ## 30636003
       4.27e-8            0         10.5            0  # 1982,M.Adib+             ## 30636003
        4.4e-8            0         10.4            0  # 1982,M.Adib+             ## 30636003
       4.58e-8            0        10.38            0  # 1982,M.Adib+             ## 30636003
        4.7e-8            0         10.3            0  # 1982,M.Adib+             ## 30636003
       4.92e-8            0         10.3            0  # 1982,M.Adib+             ## 30636003
       5.11e-8            0         10.1            0  # 1982,M.Adib+             ## 30636003
       5.31e-8            0         10.3            0  # 1982,M.Adib+             ## 30636003
       5.52e-8            0           10            0  # 1982,M.Adib+             ## 30636003
       5.75e-8            0        10.14            0  # 1982,M.Adib+             ## 30636003
       5.98e-8            0           10            0  # 1982,M.Adib+             ## 30636003
       6.24e-8            0           10            0  # 1982,M.Adib+             ## 30636003
        6.5e-8            0           10            0  # 1982,M.Adib+             ## 30636003
       6.79e-8            0           10            0  # 1982,M.Adib+             ## 30636003
       7.09e-8            0           10            0  # 1982,M.Adib+             ## 30636003
       7.42e-8            0           10            0  # 1982,M.Adib+             ## 30636003
        7.7e-8            0           10            0  # 1982,M.Adib+             ## 30636003
       8.14e-8            0        10.55            0  # 1982,M.Adib+             ## 30636003
       8.55e-8            0          9.9            0  # 1982,M.Adib+             ## 30636003
       8.94e-8            0         9.83            0  # 1982,M.Adib+             ## 30636003
       9.75e-8            0         9.83            0  # 1982,M.Adib+             ## 30636003
       9.95e-8            0         9.81            0  # 1982,M.Adib+             ## 30636003
       1.05e-7            0         9.79            0  # 1982,M.Adib+             ## 30636003
      1.109e-7            0         9.78            0  # 1982,M.Adib+             ## 30636003
      1.143e-7            0         9.78            0  # 1982,M.Adib+             ## 30636003
      1.243e-7            0         9.77            0  # 1982,M.Adib+             ## 30636003
      1.317e-7            0         9.75            0  # 1982,M.Adib+             ## 30636003
      1.403e-7            0         9.73            0  # 1982,M.Adib+             ## 30636003
      1.495e-7            0         9.72            0  # 1982,M.Adib+             ## 30636003
      1.597e-7            0         9.71            0  # 1982,M.Adib+             ## 30636003
      1.709e-7            0         9.72            0  # 1982,M.Adib+             ## 30636003
      1.833e-7            0         9.65            0  # 1982,M.Adib+             ## 30636003
      1.971e-7            0         9.62            0  # 1982,M.Adib+             ## 30636003
      2.126e-7            0          9.6            0  # 1982,M.Adib+             ## 30636003
        2.3e-7            0          9.6            0  # 1982,M.Adib+             ## 30636003
      2.495e-7            0         9.59            0  # 1982,M.Adib+             ## 30636003
      2.717e-7            0         9.57            0  # 1982,M.Adib+             ## 30636003
       2.94e-7            0          9.5            0  # 1982,M.Adib+             ## 30636003
       3.25e-7            0          9.5            0  # 1982,M.Adib+             ## 30636003
       3.59e-7            0         9.45            0  # 1982,M.Adib+             ## 30636003
       4.43e-7            0         9.45            0  # 1982,M.Adib+             ## 30636003
     4.7364e-7            0       8.7074      0.80488  # 1980,J.A.Harvey+         ## 13769004  #dY:9.2%
       4.97e-7            0         9.43            0  # 1982,M.Adib+             ## 30636003
     4.9756e-7            0       8.8178       0.7002  # 1980,J.A.Harvey+         ## 13769004  #dY:7.9%
     5.2334e-7            0       9.7779       1.2832  # 1980,J.A.Harvey+         ## 13769004  #dY:13.1%
     5.5118e-7            0       10.837       2.6324  # 1980,J.A.Harvey+         ## 13769004  #dY:24.3%
       5.63e-7            0         9.42            0  # 1982,M.Adib+             ## 30636003
