#ZVView-data-copy:   2-Dec-2019 09:34:42
#=======================================
#
#name:   50-SN-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  34401
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      0.024925            0       7.0354      0.62467  # 1998,J.A.Harvey          ## 14194002  #dY:8.9%
      0.024927            0       6.1704      0.63586  # 1998,J.A.Harvey          ## 14194002  #dY:10.3%
      0.024929            0       5.3407      0.59855  # 1998,J.A.Harvey          ## 14194002  #dY:11.2%
      0.024931            0       6.4065      0.57215  # 1998,J.A.Harvey          ## 14194002  #dY:8.9%
      0.024937            0       5.8692      0.26986  # 1998,J.A.Harvey          ## 14194002  #dY:4.6%
      0.024945            0       5.3555      0.26103  # 1998,J.A.Harvey          ## 14194002  #dY:4.9%
      0.024954            0       4.9525      0.25922  # 1998,J.A.Harvey          ## 14194002  #dY:5.2%
      0.024963            0       4.5285      0.25347  # 1998,J.A.Harvey          ## 14194002  #dY:5.6%
      0.024971            0       5.0679      0.23854  # 1998,J.A.Harvey          ## 14194002  #dY:4.7%
      0.024977            0       4.5366      0.46831  # 1998,J.A.Harvey          ## 14194002  #dY:10.3%
      0.024979            0       4.5321      0.47668  # 1998,J.A.Harvey          ## 14194002  #dY:10.5%
      0.024981            0       4.6616      0.46453  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.024983            0       5.0172      0.47508  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
      0.024985            0       5.3584        0.466  # 1998,J.A.Harvey          ## 14194002  #dY:8.7%
      0.024988            0       5.2099      0.48587  # 1998,J.A.Harvey          ## 14194002  #dY:9.3%
       0.02499            0       5.2927       0.4839  # 1998,J.A.Harvey          ## 14194002  #dY:9.1%
      0.024992            0       4.0615      0.47554  # 1998,J.A.Harvey          ## 14194002  #dY:11.7%
      0.024994            0       5.2786      0.49991  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
      0.024996            0       3.9194      0.52053  # 1998,J.A.Harvey          ## 14194002  #dY:13.3%
      0.024998            0       6.3856      0.54264  # 1998,J.A.Harvey          ## 14194002  #dY:8.5%
         0.025            0         6.32            0  # 1965,K.K.Seth+           ## 11781013
      0.025001            0       5.6618      0.56443  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025003            0       5.6286      0.55368  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
      0.025005            0       6.3227      0.55926  # 1998,J.A.Harvey          ## 14194002  #dY:8.8%
      0.025007            0       5.6192      0.52969  # 1998,J.A.Harvey          ## 14194002  #dY:9.4%
      0.025009            0        5.158       0.5336  # 1998,J.A.Harvey          ## 14194002  #dY:10.3%
      0.025011            0       4.7669      0.55128  # 1998,J.A.Harvey          ## 14194002  #dY:11.6%
      0.025014            0       3.9628      0.54745  # 1998,J.A.Harvey          ## 14194002  #dY:13.8%
      0.025016            0       4.4685      0.56131  # 1998,J.A.Harvey          ## 14194002  #dY:12.6%
      0.025018            0       5.7306      0.54148  # 1998,J.A.Harvey          ## 14194002  #dY:9.4%
       0.02502            0       4.7114      0.52176  # 1998,J.A.Harvey          ## 14194002  #dY:11.1%
      0.025022            0       5.2585      0.52095  # 1998,J.A.Harvey          ## 14194002  #dY:9.9%
      0.025028            0       4.4455      0.25854  # 1998,J.A.Harvey          ## 14194002  #dY:5.8%
      0.025036            0       4.3528      0.24587  # 1998,J.A.Harvey          ## 14194002  #dY:5.6%
      0.025045            0       4.5612      0.23771  # 1998,J.A.Harvey          ## 14194002  #dY:5.2%
      0.025054            0       5.0899      0.23644  # 1998,J.A.Harvey          ## 14194002  #dY:4.6%
      0.025063            0       4.8334      0.22888  # 1998,J.A.Harvey          ## 14194002  #dY:4.7%
      0.025071            0       5.1816      0.21604  # 1998,J.A.Harvey          ## 14194002  #dY:4.2%
       0.02508            0       5.6349      0.24646  # 1998,J.A.Harvey          ## 14194002  #dY:4.4%
      0.025089            0       5.2726      0.33209  # 1998,J.A.Harvey          ## 14194002  #dY:6.3%
      0.025097            0       4.6751      0.26626  # 1998,J.A.Harvey          ## 14194002  #dY:5.7%
      0.025106            0       5.2552      0.24775  # 1998,J.A.Harvey          ## 14194002  #dY:4.7%
      0.025115            0       4.8865      0.24053  # 1998,J.A.Harvey          ## 14194002  #dY:4.9%
       0.02512            0       5.7498      0.50035  # 1998,J.A.Harvey          ## 14194002  #dY:8.7%
      0.025123            0       5.9568       0.4982  # 1998,J.A.Harvey          ## 14194002  #dY:8.4%
      0.025125            0       6.0947      0.49809  # 1998,J.A.Harvey          ## 14194002  #dY:8.2%
      0.025127            0       4.5607       0.4988  # 1998,J.A.Harvey          ## 14194002  #dY:10.9%
      0.025129            0       5.3136      0.51396  # 1998,J.A.Harvey          ## 14194002  #dY:9.7%
      0.025131            0       4.6072      0.49462  # 1998,J.A.Harvey          ## 14194002  #dY:10.7%
      0.025134            0       6.9175      0.50674  # 1998,J.A.Harvey          ## 14194002  #dY:7.3%
      0.025136            0       5.0515      0.48613  # 1998,J.A.Harvey          ## 14194002  #dY:9.6%
      0.025138            0       6.7828      0.49516  # 1998,J.A.Harvey          ## 14194002  #dY:7.3%
       0.02514            0       6.7111      0.49091  # 1998,J.A.Harvey          ## 14194002  #dY:7.3%
      0.025142            0       5.0803      0.49583  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
      0.025144            0       5.4446      0.50135  # 1998,J.A.Harvey          ## 14194002  #dY:9.2%
      0.025147            0       5.4671      0.50702  # 1998,J.A.Harvey          ## 14194002  #dY:9.3%
      0.025149            0       5.6297      0.49374  # 1998,J.A.Harvey          ## 14194002  #dY:8.8%
      0.025151            0       4.2758      0.49321  # 1998,J.A.Harvey          ## 14194002  #dY:11.5%
      0.025153            0        4.368      0.47697  # 1998,J.A.Harvey          ## 14194002  #dY:10.9%
      0.025155            0       3.7499      0.44596  # 1998,J.A.Harvey          ## 14194002  #dY:11.9%
      0.025158            0       5.1985      0.44058  # 1998,J.A.Harvey          ## 14194002  #dY:8.5%
       0.02516            0       5.0518       0.4584  # 1998,J.A.Harvey          ## 14194002  #dY:9.1%
      0.025162            0       4.5908      0.46728  # 1998,J.A.Harvey          ## 14194002  #dY:10.2%
      0.025164            0       4.7304      0.49436  # 1998,J.A.Harvey          ## 14194002  #dY:10.5%
      0.025166            0       4.1268        0.521  # 1998,J.A.Harvey          ## 14194002  #dY:12.6%
      0.025169            0       4.6846      0.55514  # 1998,J.A.Harvey          ## 14194002  #dY:11.9%
      0.025171            0       4.8892      0.57466  # 1998,J.A.Harvey          ## 14194002  #dY:11.8%
      0.025173            0       4.3941      0.55165  # 1998,J.A.Harvey          ## 14194002  #dY:12.6%
      0.025175            0       3.8473      0.52251  # 1998,J.A.Harvey          ## 14194002  #dY:13.6%
      0.025177            0       5.4509      0.48022  # 1998,J.A.Harvey          ## 14194002  #dY:8.8%
       0.02518            0       5.5801      0.47725  # 1998,J.A.Harvey          ## 14194002  #dY:8.6%
      0.025182            0       7.0476      0.47809  # 1998,J.A.Harvey          ## 14194002  #dY:6.8%
      0.025184            0       6.4278      0.48486  # 1998,J.A.Harvey          ## 14194002  #dY:7.5%
      0.025186            0       8.6512      0.49332  # 1998,J.A.Harvey          ## 14194002  #dY:5.7%
      0.025188            0       8.3889      0.49272  # 1998,J.A.Harvey          ## 14194002  #dY:5.9%
      0.025191            0       8.8324      0.52168  # 1998,J.A.Harvey          ## 14194002  #dY:5.9%
      0.025193            0       7.1407      0.51938  # 1998,J.A.Harvey          ## 14194002  #dY:7.3%
      0.025195            0       6.8587      0.51516  # 1998,J.A.Harvey          ## 14194002  #dY:7.5%
      0.025197            0       5.0162      0.48428  # 1998,J.A.Harvey          ## 14194002  #dY:9.7%
      0.025199            0       5.8438      0.47045  # 1998,J.A.Harvey          ## 14194002  #dY:8.1%
      0.025202            0       4.7879       0.4543  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
      0.025204            0       4.4017      0.44968  # 1998,J.A.Harvey          ## 14194002  #dY:10.2%
      0.025206            0       5.2763      0.44524  # 1998,J.A.Harvey          ## 14194002  #dY:8.4%
      0.025208            0       4.6883      0.44313  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
       0.02521            0       4.4035      0.44181  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025213            0       4.7951      0.44399  # 1998,J.A.Harvey          ## 14194002  #dY:9.3%
      0.025215            0       4.8389       0.4589  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
      0.025217            0       5.0208      0.49331  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
      0.025219            0       4.6179      0.51543  # 1998,J.A.Harvey          ## 14194002  #dY:11.2%
      0.025221            0       5.4637      0.57094  # 1998,J.A.Harvey          ## 14194002  #dY:10.4%
      0.025224            0       6.8028      0.57217  # 1998,J.A.Harvey          ## 14194002  #dY:8.4%
      0.025226            0       7.8289       0.5806  # 1998,J.A.Harvey          ## 14194002  #dY:7.4%
      0.025228            0       10.142      0.58061  # 1998,J.A.Harvey          ## 14194002  #dY:5.7%
       0.02523            0       11.718      0.57734  # 1998,J.A.Harvey          ## 14194002  #dY:4.9%
      0.025232            0       13.428      0.58525  # 1998,J.A.Harvey          ## 14194002  #dY:4.4%
      0.025235            0       15.693      0.60995  # 1998,J.A.Harvey          ## 14194002  #dY:3.9%
      0.025237            0       13.531      0.57914  # 1998,J.A.Harvey          ## 14194002  #dY:4.3%
      0.025239            0       13.002        0.573  # 1998,J.A.Harvey          ## 14194002  #dY:4.4%
      0.025241            0       10.786      0.52857  # 1998,J.A.Harvey          ## 14194002  #dY:4.9%
      0.025243            0       8.3933      0.50196  # 1998,J.A.Harvey          ## 14194002  #dY:6.0%
      0.025246            0       8.5199      0.49639  # 1998,J.A.Harvey          ## 14194002  #dY:5.8%
      0.025248            0       8.2002      0.48569  # 1998,J.A.Harvey          ## 14194002  #dY:5.9%
       0.02525            0       8.1001      0.46855  # 1998,J.A.Harvey          ## 14194002  #dY:5.8%
      0.025252            0       6.9465       0.4538  # 1998,J.A.Harvey          ## 14194002  #dY:6.5%
      0.025254            0       7.7247      0.45177  # 1998,J.A.Harvey          ## 14194002  #dY:5.8%
      0.025257            0       7.2694      0.44853  # 1998,J.A.Harvey          ## 14194002  #dY:6.2%
      0.025259            0       7.4118      0.44006  # 1998,J.A.Harvey          ## 14194002  #dY:5.9%
      0.025261            0       7.9884      0.44617  # 1998,J.A.Harvey          ## 14194002  #dY:5.6%
      0.025263            0       7.4315      0.45095  # 1998,J.A.Harvey          ## 14194002  #dY:6.1%
      0.025265            0        8.129      0.46671  # 1998,J.A.Harvey          ## 14194002  #dY:5.7%
      0.025268            0       8.1255      0.49245  # 1998,J.A.Harvey          ## 14194002  #dY:6.1%
       0.02527            0       7.2486       0.5302  # 1998,J.A.Harvey          ## 14194002  #dY:7.3%
      0.025272            0       6.2452      0.57316  # 1998,J.A.Harvey          ## 14194002  #dY:9.2%
      0.025274            0       5.1905       0.5802  # 1998,J.A.Harvey          ## 14194002  #dY:11.2%
      0.025276            0       5.0936      0.52062  # 1998,J.A.Harvey          ## 14194002  #dY:10.2%
      0.025279            0       4.4057      0.46742  # 1998,J.A.Harvey          ## 14194002  #dY:10.6%
      0.025281            0       5.8794      0.44385  # 1998,J.A.Harvey          ## 14194002  #dY:7.5%
      0.025286            0       5.9477      0.20852  # 1998,J.A.Harvey          ## 14194002  #dY:3.5%
      0.025295            0       6.0236       0.2943  # 1998,J.A.Harvey          ## 14194002  #dY:4.9%
      0.025304            0       5.5954      0.43755  # 1998,J.A.Harvey          ## 14194002  #dY:7.8%
      0.025313            0       5.2419      0.34647  # 1998,J.A.Harvey          ## 14194002  #dY:6.6%
      0.025322            0       4.8022      0.29935  # 1998,J.A.Harvey          ## 14194002  #dY:6.2%
      0.025331            0       5.0506      0.27263  # 1998,J.A.Harvey          ## 14194002  #dY:5.4%
      0.025339            0       4.5242      0.26116  # 1998,J.A.Harvey          ## 14194002  #dY:5.8%
      0.025345            0        5.449      0.49809  # 1998,J.A.Harvey          ## 14194002  #dY:9.1%
      0.025347            0       4.5661      0.46703  # 1998,J.A.Harvey          ## 14194002  #dY:10.2%
      0.025349            0       4.5704      0.46113  # 1998,J.A.Harvey          ## 14194002  #dY:10.1%
      0.025352            0        4.248      0.45809  # 1998,J.A.Harvey          ## 14194002  #dY:10.8%
      0.025354            0       5.4114      0.45254  # 1998,J.A.Harvey          ## 14194002  #dY:8.4%
      0.025356            0       5.7971      0.45511  # 1998,J.A.Harvey          ## 14194002  #dY:7.9%
      0.025358            0       4.9354      0.45833  # 1998,J.A.Harvey          ## 14194002  #dY:9.3%
       0.02536            0       5.5636       0.4641  # 1998,J.A.Harvey          ## 14194002  #dY:8.3%
      0.025363            0       5.5195      0.45765  # 1998,J.A.Harvey          ## 14194002  #dY:8.3%
      0.025365            0       5.4874      0.45356  # 1998,J.A.Harvey          ## 14194002  #dY:8.3%
      0.025367            0       5.8937      0.45703  # 1998,J.A.Harvey          ## 14194002  #dY:7.8%
      0.025369            0       5.0992      0.45834  # 1998,J.A.Harvey          ## 14194002  #dY:9.0%
      0.025372            0       4.4649      0.44431  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025374            0       5.0051      0.45472  # 1998,J.A.Harvey          ## 14194002  #dY:9.1%
      0.025376            0       5.4837      0.44641  # 1998,J.A.Harvey          ## 14194002  #dY:8.1%
      0.025378            0       5.0506      0.45924  # 1998,J.A.Harvey          ## 14194002  #dY:9.1%
       0.02538            0       5.3594      0.44721  # 1998,J.A.Harvey          ## 14194002  #dY:8.3%
      0.025383            0       5.0205      0.42783  # 1998,J.A.Harvey          ## 14194002  #dY:8.5%
      0.025385            0       5.1369      0.41953  # 1998,J.A.Harvey          ## 14194002  #dY:8.2%
      0.025387            0       4.8854      0.44592  # 1998,J.A.Harvey          ## 14194002  #dY:9.1%
      0.025389            0       5.3006      0.47094  # 1998,J.A.Harvey          ## 14194002  #dY:8.9%
      0.025392            0       5.5291      0.52297  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
      0.025394            0       7.0206      0.62568  # 1998,J.A.Harvey          ## 14194002  #dY:8.9%
      0.025396            0       5.7781      0.68319  # 1998,J.A.Harvey          ## 14194002  #dY:11.8%
      0.025398            0       7.8682      0.64788  # 1998,J.A.Harvey          ## 14194002  #dY:8.2%
        0.0254            0       7.2387      0.58689  # 1998,J.A.Harvey          ## 14194002  #dY:8.1%
      0.025403            0       5.8058      0.53116  # 1998,J.A.Harvey          ## 14194002  #dY:9.1%
      0.025405            0       6.7556      0.49226  # 1998,J.A.Harvey          ## 14194002  #dY:7.3%
      0.025407            0       6.6124      0.47959  # 1998,J.A.Harvey          ## 14194002  #dY:7.3%
      0.025409            0       5.9722      0.45612  # 1998,J.A.Harvey          ## 14194002  #dY:7.6%
      0.025412            0       6.4834      0.43836  # 1998,J.A.Harvey          ## 14194002  #dY:6.8%
      0.025414            0       4.4455      0.42212  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
      0.025416            0       5.4366      0.41371  # 1998,J.A.Harvey          ## 14194002  #dY:7.6%
      0.025418            0       4.6374      0.41557  # 1998,J.A.Harvey          ## 14194002  #dY:9.0%
       0.02542            0       4.0116      0.40125  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025423            0       4.7487      0.39828  # 1998,J.A.Harvey          ## 14194002  #dY:8.4%
      0.025425            0       4.7702      0.40149  # 1998,J.A.Harvey          ## 14194002  #dY:8.4%
      0.025427            0       4.8672      0.40387  # 1998,J.A.Harvey          ## 14194002  #dY:8.3%
      0.025429            0       4.4077      0.44655  # 1998,J.A.Harvey          ## 14194002  #dY:10.1%
      0.025432            0       3.3842      0.50415  # 1998,J.A.Harvey          ## 14194002  #dY:14.9%
      0.025434            0       4.4339      0.60541  # 1998,J.A.Harvey          ## 14194002  #dY:13.7%
      0.025436            0       4.8821      0.68937  # 1998,J.A.Harvey          ## 14194002  #dY:14.1%
      0.025438            0       4.8879      0.68635  # 1998,J.A.Harvey          ## 14194002  #dY:14.0%
      0.025441            0       5.5871      0.63305  # 1998,J.A.Harvey          ## 14194002  #dY:11.3%
      0.025443            0       5.1736      0.59038  # 1998,J.A.Harvey          ## 14194002  #dY:11.4%
      0.025445            0       5.1658      0.56326  # 1998,J.A.Harvey          ## 14194002  #dY:10.9%
      0.025447            0        5.304      0.53136  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025449            0       5.3809      0.54607  # 1998,J.A.Harvey          ## 14194002  #dY:10.1%
      0.025452            0       5.9429      0.58494  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
      0.025454            0       6.2885      0.62769  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025456            0       4.9116      0.61135  # 1998,J.A.Harvey          ## 14194002  #dY:12.4%
      0.025458            0        5.732      0.56012  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
      0.025461            0       5.4341      0.54245  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025463            0       4.7095      0.53072  # 1998,J.A.Harvey          ## 14194002  #dY:11.3%
      0.025465            0       5.6958      0.55339  # 1998,J.A.Harvey          ## 14194002  #dY:9.7%
      0.025467            0       4.9136      0.60317  # 1998,J.A.Harvey          ## 14194002  #dY:12.3%
       0.02547            0       5.1993      0.65544  # 1998,J.A.Harvey          ## 14194002  #dY:12.6%
      0.025472            0       4.1591      0.66889  # 1998,J.A.Harvey          ## 14194002  #dY:16.1%
      0.025474            0       4.1729      0.64053  # 1998,J.A.Harvey          ## 14194002  #dY:15.3%
      0.025476            0       4.2979      0.58707  # 1998,J.A.Harvey          ## 14194002  #dY:13.7%
      0.025478            0       4.4164      0.56217  # 1998,J.A.Harvey          ## 14194002  #dY:12.7%
      0.025481            0       5.3865      0.51603  # 1998,J.A.Harvey          ## 14194002  #dY:9.6%
      0.025483            0       4.3501      0.51556  # 1998,J.A.Harvey          ## 14194002  #dY:11.9%
      0.025485            0       4.6653      0.51088  # 1998,J.A.Harvey          ## 14194002  #dY:11.0%
      0.025487            0       5.3962      0.51866  # 1998,J.A.Harvey          ## 14194002  #dY:9.6%
       0.02549            0       5.0624       0.5145  # 1998,J.A.Harvey          ## 14194002  #dY:10.2%
      0.025492            0       5.2715      0.51325  # 1998,J.A.Harvey          ## 14194002  #dY:9.7%
      0.025494            0       6.0521      0.49745  # 1998,J.A.Harvey          ## 14194002  #dY:8.2%
      0.025496            0       5.7761      0.49163  # 1998,J.A.Harvey          ## 14194002  #dY:8.5%
      0.025499            0       4.9593      0.49972  # 1998,J.A.Harvey          ## 14194002  #dY:10.1%
      0.025501            0       4.7453       0.5092  # 1998,J.A.Harvey          ## 14194002  #dY:10.7%
      0.025503            0       5.6812      0.53317  # 1998,J.A.Harvey          ## 14194002  #dY:9.4%
      0.025505            0       5.3649      0.57662  # 1998,J.A.Harvey          ## 14194002  #dY:10.7%
      0.025508            0       6.1707       0.5837  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
       0.02551            0       4.9636      0.58113  # 1998,J.A.Harvey          ## 14194002  #dY:11.7%
      0.025512            0       6.3963      0.53582  # 1998,J.A.Harvey          ## 14194002  #dY:8.4%
      0.025514            0        4.681      0.49962  # 1998,J.A.Harvey          ## 14194002  #dY:10.7%
      0.025516            0       4.8384      0.47588  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
      0.025519            0       3.6847      0.46153  # 1998,J.A.Harvey          ## 14194002  #dY:12.5%
      0.025521            0       5.2012      0.45982  # 1998,J.A.Harvey          ## 14194002  #dY:8.8%
      0.025523            0       4.5613      0.45868  # 1998,J.A.Harvey          ## 14194002  #dY:10.1%
      0.025525            0       4.4919      0.47496  # 1998,J.A.Harvey          ## 14194002  #dY:10.6%
      0.025528            0       4.9488      0.50883  # 1998,J.A.Harvey          ## 14194002  #dY:10.3%
       0.02553            0        4.449      0.52952  # 1998,J.A.Harvey          ## 14194002  #dY:11.9%
      0.025532            0       4.0253      0.53004  # 1998,J.A.Harvey          ## 14194002  #dY:13.2%
      0.025534            0       5.2867       0.5137  # 1998,J.A.Harvey          ## 14194002  #dY:9.7%
      0.025537            0       5.0837      0.48417  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
      0.025539            0       4.2424      0.46662  # 1998,J.A.Harvey          ## 14194002  #dY:11.0%
      0.025541            0       3.9677      0.48722  # 1998,J.A.Harvey          ## 14194002  #dY:12.3%
      0.025543            0       5.3559      0.51831  # 1998,J.A.Harvey          ## 14194002  #dY:9.7%
      0.025546            0       3.6753      0.57536  # 1998,J.A.Harvey          ## 14194002  #dY:15.7%
      0.025548            0       5.6766      0.67105  # 1998,J.A.Harvey          ## 14194002  #dY:11.8%
       0.02555            0       4.7557      0.69797  # 1998,J.A.Harvey          ## 14194002  #dY:14.7%
      0.025552            0       5.3588      0.68806  # 1998,J.A.Harvey          ## 14194002  #dY:12.8%
      0.025555            0       4.9606      0.64506  # 1998,J.A.Harvey          ## 14194002  #dY:13.0%
      0.025557            0       5.9271      0.58366  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
      0.025559            0       5.5951      0.55719  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025561            0       6.1184      0.52973  # 1998,J.A.Harvey          ## 14194002  #dY:8.7%
      0.025564            0       6.4574       0.5141  # 1998,J.A.Harvey          ## 14194002  #dY:8.0%
      0.025566            0       6.2078      0.50547  # 1998,J.A.Harvey          ## 14194002  #dY:8.1%
      0.025568            0       5.0899      0.50955  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
       0.02557            0         8.19      0.51307  # 1998,J.A.Harvey          ## 14194002  #dY:6.3%
      0.025573            0       8.0901      0.52086  # 1998,J.A.Harvey          ## 14194002  #dY:6.4%
      0.025575            0       9.7502      0.52867  # 1998,J.A.Harvey          ## 14194002  #dY:5.4%
      0.025577            0        9.824        0.542  # 1998,J.A.Harvey          ## 14194002  #dY:5.5%
      0.025579            0        12.26       0.5763  # 1998,J.A.Harvey          ## 14194002  #dY:4.7%
      0.025582            0       13.154      0.59639  # 1998,J.A.Harvey          ## 14194002  #dY:4.5%
      0.025584            0       14.875      0.63026  # 1998,J.A.Harvey          ## 14194002  #dY:4.2%
      0.025586            0        13.89      0.62346  # 1998,J.A.Harvey          ## 14194002  #dY:4.5%
      0.025588            0        12.88      0.57843  # 1998,J.A.Harvey          ## 14194002  #dY:4.5%
      0.025591            0       10.999      0.54523  # 1998,J.A.Harvey          ## 14194002  #dY:5.0%
      0.025593            0       10.107      0.51438  # 1998,J.A.Harvey          ## 14194002  #dY:5.1%
      0.025595            0       8.2321      0.49798  # 1998,J.A.Harvey          ## 14194002  #dY:6.0%
      0.025597            0       6.7969      0.50135  # 1998,J.A.Harvey          ## 14194002  #dY:7.4%
        0.0256            0       5.5501      0.51315  # 1998,J.A.Harvey          ## 14194002  #dY:9.2%
      0.025602            0       5.1877      0.51838  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025604            0       3.9507       0.5095  # 1998,J.A.Harvey          ## 14194002  #dY:12.9%
      0.025606            0       5.0499       0.5136  # 1998,J.A.Harvey          ## 14194002  #dY:10.2%
      0.025609            0       5.5328      0.49331  # 1998,J.A.Harvey          ## 14194002  #dY:8.9%
      0.025611            0       4.3624      0.47325  # 1998,J.A.Harvey          ## 14194002  #dY:10.8%
      0.025613            0       3.8363      0.46163  # 1998,J.A.Harvey          ## 14194002  #dY:12.0%
      0.025616            0       3.8091      0.31426  # 1998,J.A.Harvey          ## 14194002  #dY:8.3%
      0.025621            0       4.0434      0.31273  # 1998,J.A.Harvey          ## 14194002  #dY:7.7%
      0.025625            0       4.3439      0.31964  # 1998,J.A.Harvey          ## 14194002  #dY:7.4%
       0.02563            0       4.9258      0.32253  # 1998,J.A.Harvey          ## 14194002  #dY:6.5%
      0.025634            0       4.9636       0.3509  # 1998,J.A.Harvey          ## 14194002  #dY:7.1%
      0.025639            0       5.4773      0.40698  # 1998,J.A.Harvey          ## 14194002  #dY:7.4%
      0.025643            0       5.4449      0.42757  # 1998,J.A.Harvey          ## 14194002  #dY:7.9%
      0.025648            0       4.6337      0.36721  # 1998,J.A.Harvey          ## 14194002  #dY:7.9%
      0.025657            0       4.6514      0.18098  # 1998,J.A.Harvey          ## 14194002  #dY:3.9%
      0.025671            0        4.707      0.17417  # 1998,J.A.Harvey          ## 14194002  #dY:3.7%
      0.025684            0       4.9586      0.17701  # 1998,J.A.Harvey          ## 14194002  #dY:3.6%
      0.025698            0       4.9683      0.17757  # 1998,J.A.Harvey          ## 14194002  #dY:3.6%
      0.025711            0        5.154      0.21269  # 1998,J.A.Harvey          ## 14194002  #dY:4.1%
      0.025719            0       4.5618      0.47873  # 1998,J.A.Harvey          ## 14194002  #dY:10.5%
      0.025721            0       5.1316      0.46396  # 1998,J.A.Harvey          ## 14194002  #dY:9.0%
      0.025724            0       4.6078      0.46598  # 1998,J.A.Harvey          ## 14194002  #dY:10.1%
      0.025726            0       5.3839      0.44631  # 1998,J.A.Harvey          ## 14194002  #dY:8.3%
      0.025728            0       5.9861      0.42524  # 1998,J.A.Harvey          ## 14194002  #dY:7.1%
      0.025731            0       6.9943      0.40559  # 1998,J.A.Harvey          ## 14194002  #dY:5.8%
      0.025733            0       6.2512      0.39283  # 1998,J.A.Harvey          ## 14194002  #dY:6.3%
      0.025735            0       5.7107      0.37691  # 1998,J.A.Harvey          ## 14194002  #dY:6.6%
      0.025737            0       5.2558      0.37147  # 1998,J.A.Harvey          ## 14194002  #dY:7.1%
       0.02574            0       5.3447      0.36509  # 1998,J.A.Harvey          ## 14194002  #dY:6.8%
      0.025742            0       5.6312      0.37324  # 1998,J.A.Harvey          ## 14194002  #dY:6.6%
      0.025744            0        5.562      0.38502  # 1998,J.A.Harvey          ## 14194002  #dY:6.9%
      0.025746            0       4.3262      0.43328  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025749            0       4.2744      0.51628  # 1998,J.A.Harvey          ## 14194002  #dY:12.1%
      0.025751            0       6.4276      0.63862  # 1998,J.A.Harvey          ## 14194002  #dY:9.9%
      0.025753            0       7.0204       0.7049  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
      0.025755            0       5.2266      0.69011  # 1998,J.A.Harvey          ## 14194002  #dY:13.2%
      0.025758            0       4.1913      0.63183  # 1998,J.A.Harvey          ## 14194002  #dY:15.1%
       0.02576            0       4.5084      0.58676  # 1998,J.A.Harvey          ## 14194002  #dY:13.0%
      0.025762            0       4.1516      0.56214  # 1998,J.A.Harvey          ## 14194002  #dY:13.5%
      0.025769            0       5.0808      0.22523  # 1998,J.A.Harvey          ## 14194002  #dY:4.4%
       0.02578            0       4.2267      0.19541  # 1998,J.A.Harvey          ## 14194002  #dY:4.6%
      0.025792            0       4.4384       0.3309  # 1998,J.A.Harvey          ## 14194002  #dY:7.5%
      0.025803            0       4.9518      0.30175  # 1998,J.A.Harvey          ## 14194002  #dY:6.1%
      0.025815            0       4.7215      0.27362  # 1998,J.A.Harvey          ## 14194002  #dY:5.8%
      0.025823            0       4.1356      0.39135  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
      0.025827            0       5.8427      0.51834  # 1998,J.A.Harvey          ## 14194002  #dY:8.9%
      0.025832            0       6.8546      0.60411  # 1998,J.A.Harvey          ## 14194002  #dY:8.8%
      0.025836            0       6.7634      0.53901  # 1998,J.A.Harvey          ## 14194002  #dY:8.0%
      0.025841            0       6.9062      0.48165  # 1998,J.A.Harvey          ## 14194002  #dY:7.0%
      0.025845            0       7.5084      0.45972  # 1998,J.A.Harvey          ## 14194002  #dY:6.1%
