#ZVView-data-copy:   2-Dec-2019 09:34:42
#=======================================
#
#name:   50-SN-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  34401
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     0.0082879            0       5.8617      0.80403  # 1998,J.A.Harvey          ## 14194002  #dY:13.7%
       0.00829            0       10.142      0.76134  # 1998,J.A.Harvey          ## 14194002  #dY:7.5%
     0.0082921            0       6.5136      0.71725  # 1998,J.A.Harvey          ## 14194002  #dY:11.0%
     0.0082941            0       5.3817      0.64149  # 1998,J.A.Harvey          ## 14194002  #dY:11.9%
     0.0082962            0       3.8562      0.73212  # 1998,J.A.Harvey          ## 14194002  #dY:19.0%
     0.0082983            0       5.7384       1.1368  # 1998,J.A.Harvey          ## 14194002  #dY:19.8%
     0.0083004            0       5.9748       2.3131  # 1998,J.A.Harvey          ## 14194002  #dY:38.7%
     0.0083024            0       5.4495       1.4275  # 1998,J.A.Harvey          ## 14194002  #dY:26.2%
     0.0083045            0       4.9788       1.1219  # 1998,J.A.Harvey          ## 14194002  #dY:22.5%
     0.0083066            0        6.235       0.9188  # 1998,J.A.Harvey          ## 14194002  #dY:14.7%
     0.0083087            0       3.1156      0.83087  # 1998,J.A.Harvey          ## 14194002  #dY:26.7%
     0.0083108            0         7.49      0.85332  # 1998,J.A.Harvey          ## 14194002  #dY:11.4%
     0.0083128            0         7.95      0.88329  # 1998,J.A.Harvey          ## 14194002  #dY:11.1%
     0.0083149            0       7.9251      0.81257  # 1998,J.A.Harvey          ## 14194002  #dY:10.3%
      0.008317            0       5.6541      0.76818  # 1998,J.A.Harvey          ## 14194002  #dY:13.6%
     0.0083191            0       3.7409      0.72108  # 1998,J.A.Harvey          ## 14194002  #dY:19.3%
     0.0083212            0       4.0738        0.679  # 1998,J.A.Harvey          ## 14194002  #dY:16.7%
     0.0083233            0       4.1759      0.69597  # 1998,J.A.Harvey          ## 14194002  #dY:16.7%
     0.0083253            0        3.276        0.652  # 1998,J.A.Harvey          ## 14194002  #dY:19.9%
     0.0083274            0       4.3187      0.62828  # 1998,J.A.Harvey          ## 14194002  #dY:14.5%
     0.0083295            0       4.7888      0.60809  # 1998,J.A.Harvey          ## 14194002  #dY:12.7%
     0.0083316            0       5.0319      0.59798  # 1998,J.A.Harvey          ## 14194002  #dY:11.9%
     0.0083337            0       6.1669      0.65832  # 1998,J.A.Harvey          ## 14194002  #dY:10.7%
     0.0083358            0       4.1634       1.1909  # 1998,J.A.Harvey          ## 14194002  #dY:28.6%
     0.0083379            0       5.4814       1.8157  # 1998,J.A.Harvey          ## 14194002  #dY:33.1%
       0.00834            0       3.1855       1.3376  # 1998,J.A.Harvey          ## 14194002  #dY:42.0%
     0.0083421            0        3.968       1.0887  # 1998,J.A.Harvey          ## 14194002  #dY:27.4%
     0.0083442            0       5.3628      0.83485  # 1998,J.A.Harvey          ## 14194002  #dY:15.6%
     0.0083462            0       4.2509      0.80072  # 1998,J.A.Harvey          ## 14194002  #dY:18.8%
     0.0083483            0       4.5857      0.75883  # 1998,J.A.Harvey          ## 14194002  #dY:16.5%
     0.0083504            0       3.1646      0.77817  # 1998,J.A.Harvey          ## 14194002  #dY:24.6%
     0.0083525            0       3.8076       0.7512  # 1998,J.A.Harvey          ## 14194002  #dY:19.7%
     0.0083546            0       3.4662      0.76196  # 1998,J.A.Harvey          ## 14194002  #dY:22.0%
     0.0083567            0       4.4169      0.70337  # 1998,J.A.Harvey          ## 14194002  #dY:15.9%
     0.0083588            0       3.5801      0.68359  # 1998,J.A.Harvey          ## 14194002  #dY:19.1%
