EN          DATA        ERR-S       
MEV         B           B           
1.8850e+01  6.1880e+00  1.2950e-02  
1.9040e+01  6.1880e+00  1.2970e-02  
1.9230e+01  6.1890e+00  1.3000e-02  
1.9420e+01  6.1830e+00  1.3000e-02  
1.9620e+01  6.2010e+00  1.3020e-02  
1.9810e+01  6.2100e+00  1.2970e-02  
2.0010e+01  6.2060e+00  1.2870e-02  
2.0210e+01  6.2170e+00  1.2800e-02  
2.0420e+01  6.2280e+00  1.2730e-02  
2.0620e+01  6.2280e+00  1.2620e-02  
2.0830e+01  6.2210e+00  1.2560e-02  
2.1040e+01  6.1990e+00  1.2470e-02  
2.1250e+01  6.2010e+00  1.2400e-02  
2.1460e+01  6.1990e+00  1.2340e-02  
2.1680e+01  6.2040e+00  1.2290e-02  
2.1900e+01  6.2210e+00  1.2260e-02  
2.2120e+01  6.2210e+00  1.2150e-02  
2.2340e+01  6.2010e+00  1.2030e-02  
2.2560e+01  6.2090e+00  1.2000e-02  
2.2790e+01  6.2070e+00  1.1950e-02  
2.3020e+01  6.1920e+00  1.1890e-02  
2.3250e+01  6.1720e+00  1.1820e-02  
2.3480e+01  6.1520e+00  1.1740e-02  
2.3720e+01  6.1490e+00  1.1680e-02  
2.3960e+01  6.1470e+00  1.1630e-02  
2.4200e+01  6.1290e+00  1.1560e-02  
2.4440e+01  6.1220e+00  1.1510e-02  
2.4690e+01  6.1250e+00  1.1450e-02  
2.4940e+01  6.1110e+00  1.1370e-02  
2.5190e+01  6.0850e+00  1.1260e-02  
2.5440e+01  6.0630e+00  1.1150e-02  
2.5700e+01  6.0550e+00  1.1070e-02  
2.5950e+01  6.0390e+00  1.0970e-02  
2.6210e+01  6.0280e+00  1.0890e-02  
2.6480e+01  6.0120e+00  1.0790e-02  
2.6740e+01  5.9840e+00  1.0670e-02  
2.7010e+01  5.9600e+00  1.0560e-02  
2.7280e+01  5.9400e+00  1.0450e-02  
2.7560e+01  5.9170e+00  1.0360e-02  
2.7840e+01  5.8990e+00  1.0270e-02  
2.8120e+01  5.8740e+00  1.0150e-02  
2.8400e+01  5.8660e+00  1.0070e-02  
2.8680e+01  5.8420e+00  9.9610e-03  
2.8970e+01  5.8110e+00  9.8490e-03  
2.9260e+01  5.7840e+00  9.7340e-03  
2.9560e+01  5.7660e+00  9.6490e-03  
2.9850e+01  5.7360e+00  9.5540e-03  
3.0150e+01  5.7050e+00  9.4530e-03  
3.0460e+01  5.6770e+00  9.3550e-03  
3.0760e+01  5.6450e+00  9.2520e-03  
3.1070e+01  5.6220e+00  9.1740e-03  
3.1380e+01  5.5920e+00  9.0850e-03  
3.1700e+01  5.5560e+00  8.9860e-03  
3.2020e+01  5.5320e+00  8.9020e-03  
3.2340e+01  5.5010e+00  8.8070e-03  
3.2670e+01  5.4820e+00  8.7460e-03  
3.2990e+01  5.4510e+00  8.6570e-03  
3.3330e+01  5.4280e+00  8.5720e-03  
3.3660e+01  5.3950e+00  8.4800e-03  
3.4000e+01  5.3690e+00  8.4120e-03  
3.4340e+01  5.3360e+00  8.3260e-03  
3.4690e+01  5.3110e+00  8.2410e-03  
3.5030e+01  5.2930e+00  8.1720e-03  
3.5390e+01  5.2750e+00  8.1140e-03  
3.5740e+01  5.2520e+00  8.0520e-03  
3.6100e+01  5.2200e+00  7.9620e-03  
3.6460e+01  5.1880e+00  7.8880e-03  
3.6830e+01  5.1690e+00  7.8350e-03  
3.7200e+01  5.1480e+00  7.7700e-03  
3.7570e+01  5.1220e+00  7.6950e-03  
3.7950e+01  5.0940e+00  7.6290e-03  
3.8330e+01  5.0700e+00  7.5740e-03  
3.8720e+01  5.0440e+00  7.5090e-03  
3.9110e+01  5.0310e+00  7.4560e-03  
3.9500e+01  5.0150e+00  7.4040e-03  
3.9900e+01  4.9990e+00  7.3450e-03  
4.0300e+01  4.9820e+00  7.2940e-03  
4.0700e+01  4.9580e+00  7.2420e-03  
4.1110e+01  4.9380e+00  7.1820e-03  
4.1530e+01  4.9280e+00  7.1360e-03  
4.1940e+01  4.9160e+00  7.0920e-03  
4.2360e+01  4.9020e+00  7.0470e-03  
4.2790e+01  4.8860e+00  7.0000e-03  
4.3220e+01  4.8760e+00  6.9620e-03  
4.3650e+01  4.8550e+00  6.9060e-03  
4.4090e+01  4.8470e+00  6.8710e-03  
4.4540e+01  4.8450e+00  6.8530e-03  
4.4980e+01  4.8280e+00  6.8120e-03  
4.5440e+01  4.8160e+00  6.7760e-03  
4.5890e+01  4.8180e+00  6.7570e-03  
4.6350e+01  4.8220e+00  6.7390e-03  
4.6820e+01  4.8070e+00  6.7010e-03  
4.7290e+01  4.8040e+00  6.6750e-03  
4.7770e+01  4.8050e+00  6.6570e-03  
4.8250e+01  4.8070e+00  6.6370e-03  
4.8730e+01  4.7980e+00  6.6050e-03  
4.9220e+01  4.8080e+00  6.6000e-03  
4.9720e+01  4.8070e+00  6.5790e-03  
5.0220e+01  4.8110e+00  6.5630e-03  
5.0720e+01  4.8130e+00  6.5480e-03  
5.1230e+01  4.8110e+00  6.5320e-03  
5.1740e+01  4.8100e+00  6.5180e-03  
5.2260e+01  4.8240e+00  6.5190e-03  
5.2790e+01  4.8380e+00  6.5170e-03  
5.3320e+01  4.8430e+00  6.5060e-03  
5.3860e+01  4.8420e+00  6.4960e-03  
5.4400e+01  4.8460e+00  6.4870e-03  
5.4940e+01  4.8590e+00  6.4910e-03  
5.5500e+01  4.8770e+00  6.4930e-03  
5.6050e+01  4.8860e+00  6.4950e-03  
5.6620e+01  4.9000e+00  6.4940e-03  
5.7190e+01  4.8970e+00  6.4750e-03  
5.7760e+01  4.9080e+00  6.4840e-03  
5.8340e+01  4.9190e+00  6.4840e-03  
5.8930e+01  4.9370e+00  6.4920e-03  
5.9520e+01  4.9550e+00  6.5010e-03  
6.0120e+01  4.9620e+00  6.4960e-03  
6.0720e+01  4.9730e+00  6.4980e-03  
6.1330e+01  4.9860e+00  6.5100e-03  
6.1950e+01  5.0080e+00  6.5240e-03  
6.2570e+01  5.0230e+00  6.5300e-03  
